timestamp,n,bins,shots,shots_per_bin,mse,psnr
2025-10-18T09:47:28,8,128,64,0.5,23893.53125,4.348000215384056
2025-10-18T09:53:03,8,128,64,0.5,14404.125,6.545934793145468
2025-10-18T09:54:50,4,32,1024,32.0,1638.25,15.98700184239734
2025-10-18T09:56:54,4,32,2048,64.0,1741.25,15.722192314358905
2025-10-18T09:58:46,4,32,2048,64.0,1940.0,15.252786309376843
2025-10-18T10:01:14,4,32,2048,64.0,174.3125,25.717518292577854
2025-10-18T10:03:29,4,32,4096,128.0,37.0625,32.441456501595724
2025-10-18T10:21:54,16,512,4096,8.0,14695.5,6.458959937633417
2025-10-18T10:23:36,16,512,4096,8.0,14695.5,6.458959937633417
2025-10-18T10:49:11,16,512,4096,8.0,0.0,inf
2025-10-18T10:51:57,32,2048,4096,2.0,2040.6640625,15.033088445451078
2025-10-18T11:51:16,4,32,4096,128.0,10167.6875,8.058581709922162
2025-10-18T11:52:18,4,32,4096,128.0,10167.6875,8.058581709922162
2025-10-18T11:55:22,4,32,4096,128.0,0.0,inf
2025-10-18T17:38:09,4,32,4096,128.0,0.0,inf
2025-10-18T17:56:06,4,32,4096,128.0,35.5,32.62852007812816
2025-10-23T12:49:26,4,32,4096,128.0,0.0,inf
2025-10-23T12:51:47,4,32,4096,128.0,0.0,inf
2025-10-23T12:53:19,4,32,4096,128.0,0.0,inf
2025-10-23T12:59:13,4,32,4096,128.0,0.0,inf
2025-10-23T13:41:24,4,32,4096,128.0,0.0,inf
2025-10-27T18:45:15,16,512,4096,8.0,0.0,inf
2025-11-12T09:51:25,4,32,4096,128.0,17886.75,5.605489238940761
2025-11-12T09:52:34,4,32,4096,128.0,19480.8125,5.234732945210085
2025-11-12T09:54:03,4,32,4096,128.0,19529.375,5.223920161153609
2025-11-12T10:10:10,4,32,4096,128.0,242.25,24.288165751451075
2025-11-12T11:01:29,32,2048,4096,2.0,14089.7578125,6.641768327407257
2025-11-12T11:33:54,8,128,512,4.0,12522.09375,7.154034099449853
2025-11-12T11:35:25,8,128,512,4.0,12522.09375,7.154034099449853
2025-11-12T11:36:17,8,128,512,4.0,211.890625,24.869686188849947
2025-11-12T12:08:46,4,32,512,16.0,0.0,inf
2025-11-12T12:09:38,4,32,64,2.0,4275.8125,11.82061708297667
2025-11-12T12:17:09,4,32,64,2.0,6949.3125,9.711385191878758
2025-11-12T12:17:45,4,32,64,2.0,6769.0625,9.825518368312503
2025-11-12T12:18:07,8,128,64,0.5,12522.671875,7.153833597276142
2025-11-12T12:24:50,8,128,64,0.5,12522.671875,7.153833597276142
2025-11-12T12:26:55,8,128,64,0.5,12522.671875,7.153833597276142
2025-11-12T12:28:15,8,128,64,0.5,12522.671875,7.153833597276142
